classification	source_kind	branch	head	worktree	source_path	status	sha256	same_path_in_main	content_paths_in_main	snapshot_path
content_present_elsewhere	branch-head	codex/segment-aware-packing-infra	e8f9bb8e1a309b8887d133a570951691889648b6	/data/CoordExp/.worktrees/segment-aware-packing-infra	docs/superpowers/plans/2026-06-07-segment-aware-packing-v1.md	A	236bb9959d16fdebaec1d7f32859dfb107ab816e57f92c1298215b84bad417c4	no	docs/history/superpowers/plans/2026-06-07-segment-aware-packing-v1.md	-
content_present_elsewhere	branch-head	codex/segment-aware-packing-infra	e8f9bb8e1a309b8887d133a570951691889648b6	/data/CoordExp/.worktrees/segment-aware-packing-infra	docs/superpowers/specs/2026-06-05-row-conditioned-visual-coverage-design.md	A	7f68f787b2d5662547542609db50ec72510ec2ee5d6d50656a622429e1ffe9ff	no	docs/history/superpowers/specs/2026-06-05-row-conditioned-visual-coverage-design.md	-
content_present_elsewhere	branch-head	codex/segment-aware-packing-infra	e8f9bb8e1a309b8887d133a570951691889648b6	/data/CoordExp/.worktrees/segment-aware-packing-infra	docs/superpowers/specs/2026-06-05-row-conditioned-visual-coverage-protocol.md	A	62aac6dd1bf03b7df33b0046fd4360627aad06d8be4d9f97e94c6dfe1a6a94d4	no	docs/history/superpowers/specs/2026-06-05-row-conditioned-visual-coverage-protocol.md	-
content_present_elsewhere	branch-head	codex/segment-aware-packing-infra	e8f9bb8e1a309b8887d133a570951691889648b6	/data/CoordExp/.worktrees/segment-aware-packing-infra	docs/superpowers/specs/2026-06-07-segment-aware-packing-v1-design.md	A	de44f2a42ad9443972c862df8734e50475ec6f7d3d1f5acaaab67e9b149e4899	no	docs/history/superpowers/specs/2026-06-07-segment-aware-packing-v1-design.md	-
content_present_elsewhere	branch-head	codex/segment-aware-packing-infra	e8f9bb8e1a309b8887d133a570951691889648b6	/data/CoordExp/.worktrees/segment-aware-packing-infra	docs/superpowers/specs/2026-06-07-segment-aware-packing-v1-review-log.md	A	5f80055579654f1dded46877b08e0df532e283d904f5bec0714bee66a89f370e	no	docs/history/superpowers/specs/2026-06-07-segment-aware-packing-v1-review-log.md	-
new_content_new_path	branch-head	codex/autoregressive-binding-template-study	38518c3dc51b233030fe6fc6dad362ed051602df	/data/CoordExp/.worktrees/autoregressive-binding-template-study	docs/superpowers/plans/2026-06-18-autoregressive-binding-mechanism-phase3.md	A	dcc74a9721dd4d948c2bbbddce6cb8812c422e91ed5986798b29b4424fd58576	no	-	snapshots/dcc74a9721dd/docs/superpowers/plans/2026-06-18-autoregressive-binding-mechanism-phase3.md
new_content_new_path	branch-head	codex/autoregressive-binding-template-study	38518c3dc51b233030fe6fc6dad362ed051602df	/data/CoordExp/.worktrees/autoregressive-binding-template-study	docs/superpowers/plans/2026-06-19-realized-behavior-bridge.md	A	1215c85f3d91c00e0af9564a11d2ce1e55f441d3ca57e74d221f4bc51bf50c50	no	-	snapshots/1215c85f3d91/docs/superpowers/plans/2026-06-19-realized-behavior-bridge.md
new_content_new_path	branch-head	codex/autoregressive-binding-template-study	38518c3dc51b233030fe6fc6dad362ed051602df	/data/CoordExp/.worktrees/autoregressive-binding-template-study	progress/diagnostics/2026-06-18_autoregressive_binding_template_ablation_charter.md	A	9b3282ed94b8ea5c5b78a59e68b86ec09e178f4301db5b17870ff2b82ffeae0a	no	-	snapshots/9b3282ed94b8/progress/diagnostics/2026-06-18_autoregressive_binding_template_ablation_charter.md
new_content_new_path	branch-head	codex/autoregressive-binding-template-study	38518c3dc51b233030fe6fc6dad362ed051602df	/data/CoordExp/.worktrees/autoregressive-binding-template-study	progress/diagnostics/2026-06-18_autoregressive_binding_template_initial_cohort.md	A	c07553b710441fc88d1d9498fbe8c6bff3da95c55936a51c4df160599fa29b78	no	-	snapshots/c07553b71044/progress/diagnostics/2026-06-18_autoregressive_binding_template_initial_cohort.md
new_content_new_path	branch-head	codex/autoregressive-binding-template-study	38518c3dc51b233030fe6fc6dad362ed051602df	/data/CoordExp/.worktrees/autoregressive-binding-template-study	progress/diagnostics/2026-06-18_binding_mechanism_phase3_audit_adjusted_findings.md	A	272b7d2202853ce5bb21a39289636770542fa85a0aa9924e16ac91a522ff2943	no	-	snapshots/272b7d220285/progress/diagnostics/2026-06-18_binding_mechanism_phase3_audit_adjusted_findings.md
new_content_new_path	branch-head	codex/autoregressive-binding-template-study	38518c3dc51b233030fe6fc6dad362ed051602df	/data/CoordExp/.worktrees/autoregressive-binding-template-study	progress/diagnostics/2026-06-18_binding_mechanism_recursive_convergence.md	A	1853f5369033f921be5a865d52c71730de10044916fc398d5bcd7250e51bb38c	no	-	snapshots/1853f5369033/progress/diagnostics/2026-06-18_binding_mechanism_recursive_convergence.md
new_content_new_path	branch-head	codex/autoregressive-binding-template-study	38518c3dc51b233030fe6fc6dad362ed051602df	/data/CoordExp/.worktrees/autoregressive-binding-template-study	progress/diagnostics/2026-06-18_binding_template_deep_probe_v1_findings.md	A	da407f62f966bc2a9130e809902dfb8c6697c825c8f59b9e9c58a2d8c4b5ecee	no	-	snapshots/da407f62f966/progress/diagnostics/2026-06-18_binding_template_deep_probe_v1_findings.md
new_content_new_path	branch-head	codex/autoregressive-binding-template-study	38518c3dc51b233030fe6fc6dad362ed051602df	/data/CoordExp/.worktrees/autoregressive-binding-template-study	progress/diagnostics/2026-06-18_binding_template_token_embeddings_surface_v2_findings.md	A	8e13fabaf00300271a331643d019310b96126602e2f2bad1be5d34bb8d12e6ae	no	-	snapshots/8e13fabaf003/progress/diagnostics/2026-06-18_binding_template_token_embeddings_surface_v2_findings.md
new_content_new_path	branch-head	codex/autoregressive-binding-template-study	38518c3dc51b233030fe6fc6dad362ed051602df	/data/CoordExp/.worktrees/autoregressive-binding-template-study	progress/diagnostics/2026-06-19_realized_behavior_bridge_findings.md	A	d8f9cadb8ef0291ac657c212dbc3ac72b40c1f04a84435118b4b4d641ec5f695	no	-	snapshots/d8f9cadb8ef0/progress/diagnostics/2026-06-19_realized_behavior_bridge_findings.md
new_content_new_path	worktree-dirty	codex/autoregressive-binding-template-study	38518c3dc51b233030fe6fc6dad362ed051602df	/data/CoordExp/.worktrees/autoregressive-binding-template-study	progress/diagnostics/2026-06-19_realized_behavior_bridge_findings.md	M	d8f9cadb8ef0291ac657c212dbc3ac72b40c1f04a84435118b4b4d641ec5f695	no	-	snapshots/d8f9cadb8ef0/progress/diagnostics/2026-06-19_realized_behavior_bridge_findings.md
new_content_new_path	branch-head	codex/autoregressive-binding-template-study	38518c3dc51b233030fe6fc6dad362ed051602df	/data/CoordExp/.worktrees/autoregressive-binding-template-study	progress/diagnostics/2026-06-19_realized_behavior_bridge_plan.md	A	bb622863685855eafa57313f37fd4c0b82856f35ed804186b13374a0e17d09f9	no	-	snapshots/bb6228636858/progress/diagnostics/2026-06-19_realized_behavior_bridge_plan.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	docs/superpowers/plans/2026-06-17-sft-pipeline-hierarchy-refactor.md	A	03c4ec135bb3254e7e48db2827be89229ccbc7c3dd2eb4a2c563ce79a501b299	no	-	snapshots/03c4ec135bb3/docs/superpowers/plans/2026-06-17-sft-pipeline-hierarchy-refactor.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/design.md	A	34b7751da85148fb5bd8e1093949db961d2711f9feb6073a72aa2ad3a1f02ae5	no	-	snapshots/34b7751da851/openspec/changes/refactor-sft-pipeline-hierarchy/design.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/proposal.md	A	4123c59476bb50d2410a2839deab8e032902118aba960dbbb882f0cca3b4334b	no	-	snapshots/4123c59476bb/openspec/changes/refactor-sft-pipeline-hierarchy/proposal.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/specs/compact-template-field-order-ablation/spec.md	A	705a79e072eb2e7c8d37f63fdb95a561d6ef00ad3be5cb2330b14c17523c085a	no	-	snapshots/705a79e072eb/openspec/changes/refactor-sft-pipeline-hierarchy/specs/compact-template-field-order-ablation/spec.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/specs/dataset-prompt-variants/spec.md	A	48850a7537e274efefb2a6d2dadec29e631d0c21a57301efcfdbc715af63f452	no	-	snapshots/48850a7537e2/openspec/changes/refactor-sft-pipeline-hierarchy/specs/dataset-prompt-variants/spec.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/specs/encoded-training-cache/spec.md	A	140039eee9bbd97da4ce2b575eba86f4382312f997664474bc9ed9f848020ecf	no	-	snapshots/140039eee9bb/openspec/changes/refactor-sft-pipeline-hierarchy/specs/encoded-training-cache/spec.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/specs/object-field-ordering/spec.md	A	59ef8992a7bc4becf914d8f8deb3629283e3f61c90506e0ae6ee56725045a3c9	no	-	snapshots/59ef8992a7bc/openspec/changes/refactor-sft-pipeline-hierarchy/specs/object-field-ordering/spec.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/specs/packing-dataset/spec.md	A	837d61e6cfbd93133201bf09c9034f2602cbdb04791a181e20afbd12fd0fa4ac	no	-	snapshots/837d61e6cfbd/openspec/changes/refactor-sft-pipeline-hierarchy/specs/packing-dataset/spec.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/specs/rollout-matching-sft/spec.md	A	65e19d5d66654c55af8d4be63541d0dc9a7ba9ec503e9a8305462ef2405f9471	no	-	snapshots/65e19d5d6665/openspec/changes/refactor-sft-pipeline-hierarchy/specs/rollout-matching-sft/spec.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/specs/sft-pipeline-hierarchy/spec.md	A	e57ad940dc572c50df4831d6740597dc007a449f149b6410907a08cdfdac3415	no	-	snapshots/e57ad940dc57/openspec/changes/refactor-sft-pipeline-hierarchy/specs/sft-pipeline-hierarchy/spec.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/specs/stage1-detection-objectives/spec.md	A	8f9429c962fc815e26f3761ed2755ab63b4a6638765c63c99d1fc40f8760e1ec	no	-	snapshots/8f9429c962fc/openspec/changes/refactor-sft-pipeline-hierarchy/specs/stage1-detection-objectives/spec.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/specs/stage2-ab-training/spec.md	A	75a16bb6aa2fe5e1343447e2bcaf3defa4252b8d00b386ebc696c0e1336fb820	no	-	snapshots/75a16bb6aa2f/openspec/changes/refactor-sft-pipeline-hierarchy/specs/stage2-ab-training/spec.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/specs/stage2-rollout-correction/spec.md	A	4315e5e46b29d39968dbffbea1353b4b0a7356c66bc2bdc43ed7c4c009992da7	no	-	snapshots/4315e5e46b29/openspec/changes/refactor-sft-pipeline-hierarchy/specs/stage2-rollout-correction/spec.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/specs/teacher-forcing-unified-loss-registry/spec.md	A	ebdac379db156d15fe395b990c69c0fab9277eae777953f1d0d9bd2c81f78c3b	no	-	snapshots/ebdac379db15/openspec/changes/refactor-sft-pipeline-hierarchy/specs/teacher-forcing-unified-loss-registry/spec.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/specs/token_embeddings_adapter/spec.md	A	f8464c5218ecc635092de9f0a9480f2502510dd32564547334dec52d15c5764c	no	-	snapshots/f8464c5218ec/openspec/changes/refactor-sft-pipeline-hierarchy/specs/token_embeddings_adapter/spec.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/specs/training-config-hierarchy/spec.md	A	205a8d09fcde6079246db03f76752ad0001bb2a5fd3bb057bb192d5bd5882468	no	-	snapshots/205a8d09fcde/openspec/changes/refactor-sft-pipeline-hierarchy/specs/training-config-hierarchy/spec.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	openspec/changes/refactor-sft-pipeline-hierarchy/tasks.md	A	5db7914bce31db5432f98e3ffa5580168acde61963ccbdc39231a02b10235620	no	-	snapshots/5db7914bce31/openspec/changes/refactor-sft-pipeline-hierarchy/tasks.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	progress/explorations/2026-06-17_codebase_refactoring_program_kickoff.md	A	4d39e887cd0f017b6b9f94c05c97875e64e1dc0c5dd3053e18a4ea1c7a1c5dc6	no	-	snapshots/4d39e887cd0f/progress/explorations/2026-06-17_codebase_refactoring_program_kickoff.md
new_content_new_path	branch-head	codex/codebase-refactoring-program	895f796f28dd3583327479cd5699bf0b532ca65b	/data/CoordExp/.worktrees/codebase-refactoring-program	repo_lifecycle/README.md	A	74398f832bcc5470b7e4019d3ce079c82a1a005386c7f9dd39d243ffb802cf9b	no	-	snapshots/74398f832bcc/repo_lifecycle/README.md
new_content_new_path	branch-head	codex/prefix-denoising-sft	d08ef3ed63f6ffbd7d572afb162ea921b9b3a7ba	/data/CoordExp/.worktrees/geometry-aware-denoising-sft	docs/architecture/OWNERSHIP_BOUNDARIES.md	M	292c638d63bc0761a38505d1559d533c1f14e35c3b817f3c5a202b97cf2d9da1	no	-	snapshots/292c638d63bc/docs/architecture/OWNERSHIP_BOUNDARIES.md
new_content_new_path	branch-head	codex/prefix-denoising-sft	d08ef3ed63f6ffbd7d572afb162ea921b9b3a7ba	/data/CoordExp/.worktrees/geometry-aware-denoising-sft	docs/superpowers/plans/2026-06-14-prefix-denoising-sft-v1.md	A	273176f078b184f7bdc25cf792242be72c54a0e2e3d5d8c7d768c1889b486b00	no	-	snapshots/273176f078b1/docs/superpowers/plans/2026-06-14-prefix-denoising-sft-v1.md
